Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1878213,-,-,-,31.25,34.78,2,268,2,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,22,30,0,0,0,5.4,9.5,996,75.4,354,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,4,23,30,0,0,0,5.3,9.4,995,75.68,354,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,0,30,0,0,0,5.2,9.3,995,75.74,354,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,1,30,0,0,0,5.1,9.2,994,75.74,354,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,2,30,0,0,0,5,9,994,76.13,349,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,3,30,0,0,0,4.9,8.9,993,75.82,342,1.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,4,30,0,0,0,4.8,8.4,993,78.3,331,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,5,30,0,0,0,4.8,8,993,80.24,318,1.3,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,6,30,0,0,0,4.9,8.4,994,78.6,306,1.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,7,30,305,59,104,5.7,10.3,994,73.06,298,1.8,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,8,30,587,99,286,6.3,12.9,994,64.28,293,2.2,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,9,30,719,120,448,5.7,14.9,994,54.24,287,2.4,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,10,30,780,133,560,5.1,16.1,993,48.19,279,2.7,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,11,30,128,276,351,4.7,16.5,992,45.68,273,2.9,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,12,30,145,270,353,4.5,16.6,992,44.78,272,3.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,13,30,42,211,233,4.4,16.3,991,45.26,273,3.1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,5,14,30,49,162,182,4.4,15.2,991,48.52,275,2.5,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
