run,1,2,3,4,5,6,7,8,9,10,11,12
AC inverter output power (W) - Hour 177,257624,257624,257624,257624,260307,260307,260307,260307,262991,262991,262991,262991
AC inverter output power (W) - Hour 178,57588.6,57588.6,57588.6,57588.6,58188.5,58188.5,58188.5,58188.5,58788.3,58788.3,58788.3,58788.3
AC inverter output power (W) - Hour 179,361602,361602,361602,361602,365369,365369,365369,365369,369136,369136,369136,369136
AC inverter output power (W) - Hour 180,24496.8,24496.8,24496.8,24496.8,24752,24752,24752,24752,25007.2,25007.2,25007.2,25007.2
AC inverter output power (W) - Hour 181,132758,132758,132758,132758,134141,134141,134141,134141,135524,135524,135524,135524
AC inverter output power (W) - Hour 182,111150,111150,111150,111150,112307,112307,112307,112307,113465,113465,113465,113465
AC inverter output power (W) - Hour 183,106651,106651,106651,106651,107762,107762,107762,107762,108873,108873,108873,108873
AC inverter output power (W) - Hour 184,6810.89,6810.89,6810.89,6810.89,6881.84,6881.84,6881.84,6881.84,6952.79,6952.79,6952.79,6952.79
AC inverter output power (W) - Hour 185,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 186,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 187,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 188,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 189,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 190,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 191,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 192,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 193,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 194,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 195,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 196,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 197,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 198,0,0,0,0,0,0,0,0,0,0,0,0
AC inverter output power (W) - Hour 199,2994.96,2994.96,2994.96,2994.96,3026.16,3026.16,3026.16,3026.16,3057.35,3057.35,3057.35,3057.35
AC inverter output power (W) - Hour 200,9209.61,9209.61,9209.61,9209.61,9305.54,9305.54,9305.54,9305.54,9401.48,9401.48,9401.48,9401.48
AC inverter output power (W) - Hour 201,15750.5,15750.5,15750.5,15750.5,15914.6,15914.6,15914.6,15914.6,16078.6,16078.6,16078.6,16078.6
AC inverter output power (W) - Hour 202,32875.2,32875.2,32875.2,32875.2,33217.6,33217.6,33217.6,33217.6,33560.1,33560.1,33560.1,33560.1
AC inverter output power (W) - Hour 203,96047.2,96047.2,96047.2,96047.2,97047.7,97047.7,97047.7,97047.7,98048.2,98048.2,98048.2,98048.2
AC inverter output power (W) - Hour 204,162095,162095,162095,162095,163784,163784,163784,163784,165472,165472,165472,165472
AC inverter output power (W) - Hour 205,176459,176459,176459,176459,178298,178298,178298,178298,180136,180136,180136,180136
